Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Yohan Ramírez,PIT,24,0,33.1,12.15,4.32,1.08,0.337,59.1,5.4,3.8,3.76,0.2
Porter Hodge,CHC,36,0,33.0,10.91,4.91,2.45,0.313,71.1,6.27,5.89,4.03,-0.6
Caden Dana,LAA,7,5,32.1,9.19,5.01,2.51,0.263,68.7,6.4,6.48,4.48,-0.4
Gunnar Hoglund,ATH,6,6,32.1,6.4,3.06,2.78,0.295,74.3,6.4,6.75,4.78,-0.4
AJ Blubaugh,HOU,11,3,32.0,9.84,3.09,1.69,0.153,86.7,1.69,4.42,4.1,0.1
Kyle Bradish,BAL,6,6,32.0,13.22,2.81,0.84,0.308,83.9,2.53,2.45,2.67,1.1
Hayden Wesneski,HOU,6,6,32.0,8.16,1.69,1.97,0.25,76.3,4.5,4.82,3.81,0.2
José Castillo,4 Tms,29,0,32.0,8.44,3.94,1.13,0.371,76.3,3.94,4.57,4.06,-0.1
Tommy Nance,TOR,30,0,31.2,9.09,1.99,0.0,0.291,66.7,1.99,1.87,2.85,0.8
Sawyer Gipson-Long,DET,8,3,31.1,7.47,1.72,2.3,0.286,51.9,7.18,5.56,4.11,-0.3
Brandon Waddell,NYM,11,1,31.1,6.32,3.16,1.15,0.26,81.9,3.45,4.54,4.95,-0.1
Bubba Chandler,PIT,7,4,31.1,8.9,1.15,0.57,0.274,61.6,4.02,2.66,3.2,0.9
Zach Agnos,COL,30,0,31.1,5.46,4.88,1.44,0.268,56.1,6.61,5.62,5.67,-0.4
Cam Booser,CHW,39,0,31.0,10.16,5.52,2.32,0.253,71.4,5.52,6.26,5.3,-0.6
Nic Enright,CLE,27,0,31.0,8.71,3.48,0.87,0.263,88.8,2.03,3.81,4.39,0.2
Matt Gage,2 Tms,33,2,31.0,7.84,3.48,0.0,0.365,77.6,3.19,2.75,4.14,0.5
Josh Simpson,MIA,31,0,30.2,10.57,6.46,1.47,0.341,59.6,7.34,5.35,4.44,-0.4
Ryan Fernandez,STL,32,0,30.1,10.09,4.75,1.78,0.361,51.6,7.71,5.15,4.51,-0.3
Manuel Rodríguez,TBR,31,0,30.1,7.42,1.78,0.59,0.276,79.5,2.08,3.04,3.2,0.7
Ryan Feltner,COL,6,6,30.1,7.42,3.56,1.19,0.309,71.1,4.75,4.39,4.5,0.4
Erik Miller,SFG,36,0,30.0,6.6,6.0,0.0,0.289,89.4,1.5,3.97,5.15,0.1
Pierson Ohl,MIN,14,3,30.0,8.1,2.1,1.5,0.351,60.5,5.1,4.2,3.99,0.1
Adam Mazur,MIA,6,6,30.0,5.7,3.6,1.2,0.282,61.9,4.8,4.9,5.22,0.1
Jonathan Loáisiga,NYY,30,0,29.2,7.58,3.03,2.12,0.3,86.0,4.25,5.83,4.17,-0.5
Kai-Wei Teng,SFG,8,7,29.2,11.83,5.16,0.61,0.365,57.8,6.37,3.81,4.44,0.3
Matt Sauer,LAD,10,1,29.2,7.28,2.43,1.82,0.326,60.1,6.37,5.16,4.24,-0.1
Erik Sabrowski,CLE,33,0,29.1,12.89,6.44,0.61,0.226,85.2,1.84,3.61,4.04,0.3
Carson Fulmer,LAA,13,0,29.1,7.98,3.38,1.53,0.247,58.6,5.83,4.7,4.38,0.0
Jaden Hill,COL,28,0,29.1,9.51,3.68,0.61,0.309,71.4,3.38,3.44,4.08,0.3
Eduardo Salazar,WSN,30,0,29.0,7.14,4.97,2.17,0.388,64.6,8.38,6.45,5.01,-0.5
Andrew Saalfrank,ARI,28,0,29.0,5.9,3.1,0.31,0.217,87.0,1.24,3.31,4.61,0.5
Dan Altavilla,CHW,28,0,29.0,6.52,4.66,1.24,0.197,89.5,2.48,5.45,4.93,-0.2
JT Brubaker,2 Tms,17,1,28.2,6.91,3.77,0.0,0.28,66.7,3.77,2.96,4.47,0.4
Konnor Pilkington,WSN,32,0,28.1,10.8,5.4,2.22,0.238,80.1,4.45,5.96,4.65,-0.5
Tayler Scott,2 Tms,24,0,27.1,7.9,5.93,1.98,0.329,62.8,7.9,6.32,5.44,-0.6
Sean Reynolds,SDP,19,1,27.0,8.33,5.67,1.33,0.235,69.8,5.33,5.43,5.22,-0.3
Héctor Neris,3 Tms,35,0,26.2,11.81,5.4,2.03,0.348,55.9,6.75,5.35,4.5,-0.1
Blake Treinen,LAD,32,0,26.2,12.15,6.41,1.35,0.382,72.7,5.4,4.75,4.82,-0.1
Grant Wolfram,BAL,21,0,26.2,10.46,5.06,0.68,0.393,64.3,5.4,3.59,4.29,0.2
Kade Strowd,BAL,25,0,26.1,8.2,4.44,0.34,0.227,83.9,1.71,3.4,3.96,0.2
Collin Snider,SEA,24,0,26.1,8.2,2.05,1.03,0.345,55.9,5.47,3.7,4.1,0.2
